Crop,Water level,Product,Potential for carbon credits,Potential for blue credits,Existing production areas including pilots (in ha) and potential areas (in italics),References,,,,,,,,,,"Table 1. Overview of important paludiculture crops and applications, range in water levels, existing production areas including pilots and potential areas, potential for carbon credits based on estimates of GHG emission reduction (including biomass use for replacing fossil resources), and potential for blue credits based on suitability for water purification (P) and water storage (S): ++ very high potential, + high potential, 0 little potential, - negative effect."
,(cm +/- soil surface),,,,,,Oogstijd,Lengte stoppel (m),Totale lengte spruit (m),,Oogst ton DS/ha min/max,Oogstrest (ton ds/ha),bron,Opmerking,,
Cattail,0 to +20,insulation and building material,+,P +,Kamp (D) 30,"Pijlman et al., 2019",,,,,,,,,,
(Typha sp.),,,,S +,Zuiderveen (NL) 4,Rejmankova 2011,,,,,,,,,,
,,,,,Peel (NL) 1,"Vroom et al., 2018",nov - feb,0.25,1.8,0.1162790698,5,0.8,Paetzel 2018,,,
,,,,,Bûtefjild (NL) 0.1,"Yavitt and Knapp, 1995",nov - feb,0.25,2.5,,15,1.7,Wichtmann et al. 2016,,,
,,,,,Danube delta (RO),"Wild et al., 2001",,,,,,,,,,
,,,,,,"Heinz, 2012",,,,,,,,,,
,,bedding material,+,P +,Peel (NL) 1,"Geurts and Fritz, 2018",nov - feb,0.25,1.8,,5,0.8,,,,Short position paper in Landbauforschung Journal of Sustainable and Organic Agricultural Systems
,,,,S +,Zegveld (NL) 0.4,"Grosshans et al., 2013",nov - feb,0.25,2.5,,15,1.7,,,,
,,"extraction of protein, fibres, cellulose",0/+,P ++,Canada,"Chakma et al., 2017",juli - aug?,0.25,1.8,,6.7,1.1,,opbrengst verhouding tot winteroogst gebaseerd op Pijlman et al. 2019,,Climate mitigation and provision of ecosystem services on rewetted peat soils used for paludiculture
,,,,S +,,"Zhang et al., 2011",,0.25,2.5,,20.0,2.2,,,,"J.J.M. Geurts, G.A. van Duinen, J. van Belle, S. Wichmann, W. Wichtmann & C. Fritz"
,,feed for pest-controlling predatory mites,0/+,P ++,Zegveld (NL) 0.4,"Rahman et al., 2015",mei - juni,n/a,,,,n/a,,oogst betreft het stuifmeel. Wordt dus gecombineerd met andere oogst,,
,,,,S +,,,,n/a,,,,n/a,,,,
,,fodder,-/+,P ++,Peel (NL) 1 ha,,mei,0.25,0.6,,3,2.1,Pijlman et al. 2019,,,
,,,,S +,Zegveld (NL) 0.4,,,,,,,,,,,
,,combustion,-/+,P +,Canada > 500,,nov - feb,0.25,1.8,,5,0.8,,,,
,,,,S +,,,,0.25,2.5,,15,1.7,,,,
Reed (Phragmites australis),-20 to +20,"thatching, insulation and building material",++,P +,"UK 6,500","Van den Berg et al., 2016; Rezaie and Sahlezadeh, 2014; Köbbing et al., 2013; Wichmann and Köbbing, 2015; Wichtmann et al., 2014; Van der Sluis et al., 2013; Dragoni et al., 2017; Wichtmann et al., 2016",,,,,,,,,,
,,,,S ++,"Netherlands 4,500",,,,,,,,,,,
,,,,,Mecklenburg-Vorpommern (D) 550,,nov/feb,0.1,2,0.04651162791,8,0.4,Wichtmann et al. 2016,,,
,,,,,"Poland 8,000",,,0.1,3,,?,,,geen info over max. yield gevonden,,
,,,,,"Hungary 7,500",,,,,,,,,,,
,,,,,"Austria 1,500",,,,,,,,,,,
,,,,,"Denmark, China",,,,,,,,,,,
,,,,,"Romania 190,000",,,,,,,,,,,
,,,,,"Ukraine >100,000",,,,,,,,,,,
,,paper,++/+,P +,China > 1 million,,nov/feb,0.1,2,,8,0.4,Wichtmann et al. 2016,,,
,,,,S ++,,,,0.1,3,,?,,,geen info over max. yield gevonden,,
,,"extraction of protein, fibres, cellulose",0/+,P +/++,Germany,,,0.1,2,,8,0.4,Wichtmann et al. 2016,"dit gaat uit van winteroogst, omdat oogst tijdens groeiseizoen slecht wordt verdragen door Riet",,
,,,,S ++,,,nov/feb??,0.1,3,,?,,,,,
,,combustion/ biogas,-/+,P +/++,Italy 0.75,,,0.1,2,,8,0.4,Wichtmann et al. 2016,,,
,,,,S ++,Germany,,nov/feb,0.1,3,,?,,,geen info over max. yield gevonden,,
,,,,,Belarus & Ukraine: large potential areas,,,,,,,,,,,
Peat moss (Sphagnum sp.),-15 to -5,high quality substrate in  horticulture,++,P +,Hankhausen (D) 14,"Beyer and Höper, 2015; Temmink et al., 2017; Günther et al., 2017; Gaudig et al. 2018",,,,,,,,,,
,,,,S 0/+,Twist (D) 10,,,,,,,0,,"geen oogstrest, want oogst is plant + dode plant",,
,,,,,Ilperveld (NL) 8,,,???,,,,,,,,
,,,,,Canada 8,,,,,,,,,,,oogstmomenten lisdodde
,,,,,"Finland, Chile",,,,,,,,,,,uit Geurts et al 2017 - Paludicultuur houdt de polder schoon. H2O online
Grasses like reed canary grass ,-30 to +10,combustion/ biogas,-/+,P 0,Malchin (D) 200,"Hurry and Bellinger, 1990;",,mei - sep,,,,?,,"vergelijkbaar met ander grasland, maar minder eiwitrijk",,
(Phalaris arundinacea),,,,S +,"Denmark, Estonia, Belarus","Kao et al., 2003; ",,,,,,,,,,
,,fodder,0/+,P 0/+,Mecklenburg-Vorpommern (D),"Karki et al., 2014; Wichtmann et al., 2016",,mei - sep,,,,?,,"vergelijkbaar met ander grasland, maar minder eiwitrijk",,
,,,,S +,,,,,,,,,,,,
Alder (Alnus sp.),-40 to +5,wood/timber,++,P 0/+,"Mecklenburg-Vorpommern (D) 40,000","Abel 2016; Rusch and Rennenberg, 1998; Schäfer and Joosten, 2005",,jan - feb?,,,,0,,"geen oogstrest, want stobben groeien weer uit",,
,,,,S ++,USA,,,,,,,,,,,
