,,,Werkdiepte,
Woelen,Kromme,Smalle,16-20,Schijveneg
,Rechte,Brede,21-25,Cultivator
,,Ganzenvoet,26-30,Rotorkopeg
,,,31-35,Rotorkopeg+zaaimachine
,,,,Geen
Cultivateren,Vaste,Smalle,5-10,
,Triltand,Brede,11-15,
,,Ganzenvoet,16-20,
Schijveneg,2,,5-10,
,4,,11-15,
,,,16-20,
Mulchzaai,Schijveneg,Schijfkoulters,5-10,
,Triltanden,Slangenaanvoer,11-15,
,Schijveneg+triltanden,,16-20,
Strip_till,4,,5-10,
,6,,11-15,
,8,,16-20,
Directzaai,Tarwe,,,
,Groenbemester,,,
,Maïs,,,
,,,,
,,,,
,,,,
,,,,
Ploeg,Ja,Ja,16-20,2
,Nee,Nee,21-25,3
,,,26-30,4
,,,,5
,,,,6
,,,,7
,,,,8
Spitmachine,,,16-20,
,,,21-25,
,,,26-30,
