,,,,,,,,,,diesel toeslag grondsoort,,,
,,werkdiepten,,,,diesel toeslag werkdiepte,,,,zand,los,klei,veen
1,Cultivator schijf,5-10,11-15,16-20,,1.00,1.05,1.10,1,1.00,1.05,1.10,1.05
2,Cultivator vaste tand,5-10,11-15,16-20,,1.00,1.37,1.60,1,1.00,1.10,1.20,1.10
3,Cultivator veertand,5-10,11-15,16-20,,1.00,1.37,1.60,1,1.00,1.10,1.20,1.10
4,Stoppelcultivator,5-10,11-15,16-20,,1.00,1.37,1.60,1,1.00,1.10,1.20,1.10
5,Frontpakker, , , ,,1,1,1,1,1.00,1.00,1.00,1.00
6,Grondfrees, , , ,,1,1,1,1,1.00,1.05,1.10,1.05
7,Hakenfrees, , , ,,1,1,1,1,1.00,1.05,1.10,1.05
8,Rotorkopeg,5-10,11-15,16-20,,1.00,1.10,1.20,1,1.00,1.05,1.10,1.05
9,Schijveneg,5-10,11-15,16-20,,1.00,1.05,1.10,1,1.00,1.05,1.10,1.05
10,Spitmachine,16-20,21-25,26-30,,1.00,1.08,1.17,1,1.00,1.10,1.20,1.10
11,Volveldsfrees, , , , ,1,1,1,1,1.00,1.05,1.10,1.05
12,Voorzetwoeler,16-20,21-25,26-30,31-35,0.70,0.80,0.90,1,1.00,1.10,1.20,1.10
13,Vorenpakker enkel of dubbel, , , , ,1,1,1,1,1.00,1.05,1.10,1.05
14,Vorenpakker frontopbouw, , , , ,1,1,1,1,1.00,1.05,1.10,1.05
15,Wentelploeg,16-20,21-25,26-30,,1,1,1,1,1.00,1.10,1.20,1.10
16,Woeler,16-20,21-25,26-30,31-35,0.70,0.80,0.90,1.00,1.00,1.10,1.20,1.10
17,Zaaibedcombinatie gedragen, , , , ,1,1,1,1,1.00,1.05,1.10,1.05
18,Duwploeg,16-20,21-25,26-30, ,1,1,1,1,1.00,1.10,1.20,1.10
19,Rupsbanden, , , , ,1,1,1,1,1.00,1.00,1.00,1.00
20,Techniek + vasterijpaden, , , , ,1,1,1,1,1.00,1.00,1.00,1.00
