Soil moisture class (GEST),,"Water tables in relation to surface (+ above, - below)",,Relevant classes,winter,,zomer,
,,WLw,WLd,,hoogste ,laagste,hoogste ,laagste
7+,Upper sublitoral,+250 to +140 cm,+250 to +140 cm,,,,,
6+,Flooded (lower eulittoral),+150 to +10 cm,+140 to +0 cm,X,150,10,140,0
5+,Wet (upper eulittoral),+ 10 to – 5 cm,+0 to -10 cm,X,10,-5,0,-10
4+,Semi wet (very moist),-5 -to -15 cm,-10 to -20 cm,X,-5,-15,-10,-20
3+,moist,-15 to -35 cm,-20 to -45 cm,X,-15,-35,-20,-45
2+,Moderate moist,-35 to -70 cm,-45 to -85 cm,X,-35,-70,-45,-85
2-,Moderate dry,< 60 l / m2,< -85 cm,X,-70,-1000000000000,-85,
3-,Dry,60 – 100 l / m2,,,,,,
4-,Very dry,100 – 140 l / m2,,,,,,
5-,Extremely dry,>140 l / m2,,,,,,
,,,,,,,,
,,,,,,,,
,uitkomst baseline Soil moisture class,,FOUT,: FOUT,,,,
,uitkomst rewetting Soil moisture class,,FOUT,: FOUT,,,,
