Bodembewerking,,
Brandstofverbruik verschil per 5 cm werkdiepte,10%,
Brandstof verschil tussen 4 en 7 schaar,73%,
Brandstof verbruik zonder ondergronders min,10%,
Brandstof verbruik zonder vorenpakker,5%,
Brandstofverbruik brede beitels tov smalle,10%,
Verschil rechte tand tov kromme tand ( liter ),1.3,
Brandstofverbruik ganzevoet beitels tov brede,10%,
triltand tov vaste tand,5%,
Schijveneg werkdiepte,5%,
Löss woelen tov zand,10%,
Löss cultivateren tov zand,10%,
Löss schijveneg tov zand,5%,
Klei woelen tov löss,10%,
Klei cultivateren tov löss,10%,
Klei schijveneg tov löss,5%,
Brandstofverbruik verschil per 5 cm strip till,5%,
Brandstofverbruik verschil per grondsoort strip till,5%,
Verschil brandstofverbruik per 5 cem cultivator,10%,
Smal tov brede beitel,5%,meer
Triltand smal tov triltand brede beitel,10%,
klei tov loss striptill,5%,
